v YEARS/GAS >,TOTAL_INCLVOLCANIC_RF,VOLCANIC_ANNUAL_RF,SOLAR_RF,TOTAL_ANTHRO_RF,GHG_RF,KYOTOGHG_RF,CO2CH4N2O_RF,CO2_RF,NON_CO2_RF,CH4_RF,N2O_RF,FGASSUM_RF,MHALOSUM_RF,CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL,TOTAER_DIR_RF,OCI_RF,BCI_RF,SOXI_RF,NOXI_RF,BIOMASSAER_RF,MINERALDUST_RF,CLOUD_TOT_RF,STRATOZ_RF,TROPOZ_RF,CH4OXSTRATH2O_RF,LANDUSE_RF,BCSNOW_RF
1798,0.27746741,0.22806922,-0.05053125,0.099929438,0.12931323,0.12931323,0.12931323,0.10819345,-0.008264012,0.017423441,0.0036963482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0079315107,-0.00013486126,0.0004853217,-0.00072537775,-0.00011471514,0.00094418446,-0.0083860628,-0.034825924,0,0.022302084,0.0029569331,-0.016772126,0.0048867466
1799,0.2856347,0.23244422,-0.04930625,0.10249673,0.13202675,0.13202675,0.13202675,0.11039084,-0.00789411000000001,0.017864181,0.0037717255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0080452347,-0.00013486126,0.0004853217,-0.00073515819,-0.00011684282,0.00098896838,-0.0085326625,-0.035383025,0,0.022963358,0.0030317603,-0.017065325,0.0049684508
1800,0.30345983,0.23244422,-0.03357375,0.10458936,0.13466932,0.13466932,0.13466932,0.11250486,-0.00791549999999999,0.018316097,0.0038483613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0084427333,-0.00015171891,0.00054598691,-0.00076771377,-0.00011938475,0.00072395855,-0.0086738614,-0.036095795,0,0.023630127,0.0031084866,-0.017347723,0.0050676787
1801,0.3258144,0.23244422,-0.0133,0.10667018,0.13725564,0.13725564,0.13725564,0.11454316,-0.00787298,0.018786166,0.0039263122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0088348566,-0.00016857657,0.00060665212,-0.00080037803,-0.00012196138,0.00045917559,-0.0088097683,-0.036788347,0,0.02430512,0.0031882966,-0.017619537,0.0051638653
1802,0.32293762,0.23244422,-0.017819375,0.10831278,0.13979849,0.13979849,0.13979849,0.11651278,-0.0082,0.019280163,0.0040055436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0095096413,-0.00020229188,0.00072798254,-0.00085604307,-0.00012495982,-0.00011383672,-0.0089404924,-0.037635553,0,0.024990597,0.0032721707,-0.017880985,0.0052776965
1803,0.3082946,0.23244422,-0.034545,0.11039539,0.1422928,0.1422928,0.1422928,0.1184099,-0.00801451,0.01979679,0.0040861033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0098905739,-0.00021914954,0.00078864776,-0.00088906316,-0.00012761247,-0.00037725386,-0.0090661426,-0.038288507,0,0.025686085,0.0033598891,-0.018132285,0.0053679819
1804,0.30625174,0.23244422,-0.039536875,0.11334439,0.14472501,0.14472501,0.14472501,0.12022542,-0.00688103,0.020331467,0.0041681213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0096892391,-0.00020229189,0.00072798254,-0.00087665231,-0.00012953697,-0.000021912447,-0.009186828,-0.038572395,0,0.026389842,0.0034506743,-0.018373656,0.0054141567
1805,0.30554894,0.23244422,-0.04272625,0.11583097,0.14709945,0.14709945,0.14709945,0.1219681,-0.00613712999999999,0.020879622,0.0042517223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0097716246,-0.00020229189,0.00072798254,-0.0008871368,-0.00013188416,0.00002436326,-0.0093026576,-0.039013583,0,0.027100138,0.00354375,-0.018605315,0.0054781574
1806,0.29656247,0.23244422,-0.053764375,0.11788262,0.14944406,0.14944406,0.14944406,0.1236704,-0.00578778000000001,0.021436693,0.0043369745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010136037,-0.00021914954,0.00078864776,-0.00092081425,-0.00013466239,-0.00023631845,-0.0094137405,-0.03961156,0,0.027815251,0.003638342,-0.018827481,0.0055600445
1807,0.28733627,0.23244422,-0.065043125,0.11993518,0.15175699,0.15175699,0.15175699,0.12533497,-0.00539978999999999,0.021998131,0.0044238931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010495373,-0.0002360072,0.00084931297,-0.00095468541,-0.00013748427,-0.00049632363,-0.0095201856,-0.040192471,0,0.028533468,0.0037336779,-0.019040371,0.0056392531
1808,-0.20660893,-0.25755578,-0.0714175,0.12236436,0.15397703,0.15397703,0.15397703,0.12690511,-0.00454074999999998,0.0225594,0.0045125259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010563078,-0.0002360072,0.00084931297,-0.00096566149,-0.00013996026,-0.00044866003,-0.0096221021,-0.040582688,0,0.029253088,0.0038289873,-0.019244204,0.0056952182
1809,-1.3501184,-1.3994308,-0.07532875,0.12464114,0.15601935,0.15601935,0.15601935,0.12830042,-0.00365928,0.023115974,0.0046029563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010626516,-0.0002360072,0.00084931297,-0.00097674399,-0.00014248033,-0.00040099813,-0.0097195989,-0.040957042,0,0.02997242,0.0039235018,-0.019439198,0.0057486257
1810,-1.7519646,-1.8019308,-0.0767375,0.12670368,0.15782406,0.15782406,0.15782406,0.12946317,-0.00275948999999998,0.02366562,0.0046952698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010685842,-0.0002360072,0.00084931297,-0.00098792969,-0.00014504571,-0.00035338689,-0.0098127851,-0.041316001,0,0.030690659,0.004016842,-0.01962557,0.0057995361
1811,-0.95612856,-1.0100558,-0.074204375,0.1281316,0.15940527,0.15940527,0.15940527,0.1304044,-0.00227279999999999,0.024211326,0.0047895395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011024358,-0.00025286486,0.00090997818,-0.0010228804,-0.00014806258,-0.00060875838,-0.0099017696,-0.041832938,0,0.031409012,0.0041095152,-0.019803539,0.0058686352
1812,-0.27918259,-0.34068078,-0.067939375,0.12943757,0.16083737,0.16083737,0.16083737,0.13119381,-0.00175623999999999,0.024757736,0.0048858199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011358229,-0.00026972251,0.00097064339,-0.0010580653,-0.0001511308,-0.00086329178,-0.0099866617,-0.042335236,0,0.032129319,0.0042023103,-0.019973323,0.0059353581
1813,-0.077907142,-0.14818078,-0.06085625,0.13112989,0.16219311,0.16219311,0.16219311,0.13190268,-0.000772789999999995,0.025306263,0.004984169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011404417,-0.00026972251,0.00097064339,-0.0010698237,-0.00015384707,-0.0008140967,-0.01006757,-0.042650453,0,0.032852178,0.0042954671,-0.02013514,0.0059791398
1814,-0.59896164,-0.67755578,-0.054236875,0.13283102,0.16353237,0.16353237,0.16353237,0.13259134,0.000239679999999992,0.025856373,0.0050846531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01144702,-0.00026972251,0.00097064339,-0.0010816879,-0.00015661452,-0.00076503427,-0.010144604,-0.042952127,0,0.03357744,0.0043888949,-0.020289208,0.0060206661
1815,-2.0619414,-2.1519308,-0.044174375,0.1341638,0.16490996,0.16490996,0.16490996,0.13331508,0.000848719999999997,0.026407535,0.0051873419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01176572,-0.00028658017,0.0010313086,-0.001117908,-0.00015985428,-0.0010148131,-0.010217873,-0.043412781,0,0.034304961,0.0044825035,-0.020435745,0.006080623
1816,-2.5631788,-2.6638058,-0.0345275,0.13515444,0.16635058,0.16635058,0.16635058,0.13409903,0.00105540999999998,0.026959216,0.0052923292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012358657,-0.00032029548,0.001152639,-0.0011788081,-0.00016357622,-0.0015611316,-0.010287485,-0.044032383,0,0.035034597,0.0045762027,-0.020574969,0.0061590709
1817,-1.3942302,-1.4956808,-0.034759375,0.13620993,0.16782865,0.16782865,0.16782865,0.13491805,0.00129188,0.02751089,0.0053997139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01294433,-0.0003540108,0.0012739695,-0.0012404777,-0.00016737122,-0.0021028903,-0.010353549,-0.044638854,0,0.03576621,0.0046699026,-0.020707099,0.0062354449
1818,-0.26564772,-0.36255578,-0.0407925,0.13770056,0.16928841,0.16928841,0.16928841,0.13571684,0.00198371999999999,0.028062026,0.005509545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013246262,-0.00037086846,0.0013346347,-0.0012781895,-0.00017080949,-0.0023448535,-0.010416176,-0.045061591,0,0.036499663,0.0047635136,-0.020832351,0.00628918
1819,0.18534697,0.092444219,-0.046659375,0.13956212,0.17066908,0.17066908,0.17066908,0.13643515,0.00312697000000001,0.0286121,0.0056218274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013266616,-0.00037086846,0.0013346347,-0.0012916139,-0.00017388454,-0.0022894114,-0.010475472,-0.045301498,0,0.037234821,0.0048569463,-0.020950945,0.0063203367
